Pond,Date,CPOMType,CPOMCore,Z,SedDepth,VialNum,VialMass,VialDryCPOM,VialAM,CPOMDryMass,CPOMAshMass,CPOMAFDM,CPOMAFDMStandingStock,CoreDiam,CoreArea
CP,2016-07-11,O,A,1,0,NA,NA,NA,NA,NA,NA,NA,NA,4.7,17.3494454294496
CP,2016-07-11,O,A,1,1,I1,13.245,13.3181,13.2812,0.0731000000000002,0.0362000000000009,0.0368999999999993,21.2686913538826,4.7,17.3494454294496
CP,2016-07-11,O,A,1,2,I2,13.3085,13.3776,13.3242,0.0690999999999988,0.0156999999999989,0.0533999999999999,30.7790817966761,4.7,17.3494454294496
CP,2016-07-11,O,A,1,3,I3,13.0982,13.2608,13.1689,0.162599999999999,0.0707000000000004,0.091899999999999,52.9699928298597,4.7,17.3494454294496
CP,2016-07-11,O,A,2,4,I4,13.1722,13.4532,13.2347,0.281000000000001,0.0625,0.218500000000001,125.940624954565,4.7,17.3494454294496
CP,2016-07-11,O,A,2,6,I5,13.3487,13.6597,13.4289,0.311000000000002,0.0802000000000014,0.2308,133.030188739192,4.7,17.3494454294496
CP,2016-07-11,O,B,1,0,I7,13.1921,13.1942,13.1932,0.00210000000000043,0.00109999999999921,0.00100000000000122,0.576387299563929,4.7,17.3494454294496
CP,2016-07-11,O,B,1,1,I8,13.3382,13.5257,13.3799,0.1875,0.0416999999999987,0.145800000000001,84.0372682763188,4.7,17.3494454294496
CP,2016-07-11,O,B,1,2,I9,13.2517,13.4134,13.2947,0.1617,0.043000000000001,0.118699999999999,68.417172458154,4.7,17.3494454294496
CP,2016-07-11,O,B,1,3,I10,13.303,13.5109,13.3746,0.207899999999999,0.0715999999999983,0.1363,78.5615889304677,4.7,17.3494454294496
CP,2016-07-11,O,B,2,4,H1,13.4048,13.6437,13.4547,0.238900000000001,0.0499000000000009,0.189,108.937199617449,4.7,17.3494454294496
CP,2016-07-11,O,B,2,6,H2,13.3808,13.5499,13.4101,0.169099999999998,0.0292999999999992,0.139799999999999,80.5789444789383,4.7,17.3494454294496
CP,2016-07-11,O,C,1,0,H3,13.1076,13.1106,13.1096,0.00300000000000011,0.00200000000000067,0.000999999999999446,0.576387299562905,4.7,17.3494454294496
CP,2016-07-11,O,C,1,1,H4,13.3945,13.3969,13.3956,0.00239999999999974,0.00109999999999921,0.00130000000000052,0.749303489432493,4.7,17.3494454294496
CP,2016-07-11,O,C,1,2,H5,13.1713,13.177,13.1693,0.00569999999999915,-0.00200000000000067,0.00769999999999982,4.43818220663672,4.7,17.3494454294496
CP,2016-07-11,O,C,1,3,H6,13.238,13.2989,13.2545,0.0609000000000002,0.0165000000000006,0.0443999999999996,25.5915961006069,4.7,17.3494454294496
CP,2016-07-11,O,C,2,4,H7,13.4421,13.6063,13.4754,0.164199999999999,0.0333000000000006,0.130899999999999,75.4490975128253,4.7,17.3494454294496
CP,2016-07-11,O,C,2,6,H8,13.2276,13.9549,13.3541,0.7273,0.1265,0.6008,346.293489577585,4.7,17.3494454294496
