Pond,Date,SampType,Core,Z,SedDepth,VialNum,VialMass,VialDrySed,VialAM,SedDryMass,SedAshMass,SedAFDM,SedAFDMStandingStock,propOM,CoreDiam,CoreArea
CP,2016-07-11,O,A,1,0,D4,13.3134,13.5036,13.4803,0.190200000000001,0.1669,0.0233000000000008,13.4298240798236,0.122502628811781,4.7,17.3494454294496
CP,2016-07-11,O,A,1,1,D5,13.3345,13.5544,13.527,0.219899999999999,0.192499999999999,0.0274000000000001,15.7930120080324,0.124602091859937,4.7,17.3494454294496
CP,2016-07-11,O,A,1,2,D6,13.3024,13.4939,13.473,0.1915,0.1706,0.0208999999999993,12.046494560871,0.109138381201041,4.7,17.3494454294496
CP,2016-07-11,O,A,1,3,D7,13.4151,13.7326,13.7006,0.317499999999999,0.285499999999999,0.032,18.4443935860232,0.100787401574804,4.7,17.3494454294496
CP,2016-07-11,O,A,2,4,D8,13.0908,13.561,13.5168,0.4702,0.426,0.0442,25.4763186406945,0.094002552105487,4.7,17.3494454294496
CP,2016-07-11,O,A,2,6,D9,13.332,13.7863,13.7275,0.4543,0.395499999999998,0.0588000000000015,33.8915732143185,0.12942989214176,4.7,17.3494454294496
CP,2016-07-11,O,B,1,0,D10,13.3844,13.5639,13.5387,0.179500000000001,0.154300000000001,0.0251999999999999,14.5249599489932,0.140389972144845,4.7,17.3494454294496
CP,2016-07-11,O,B,1,1,E1,13.2417,13.4315,13.4054,0.1898,0.1637,0.0260999999999996,15.0437085185999,0.137513171759745,4.7,17.3494454294496
CP,2016-07-11,O,B,1,2,E2,13.3396,13.5236,13.5037,0.183999999999999,0.164099999999999,0.0198999999999998,11.4701072613081,0.108152173913043,4.7,17.3494454294496
CP,2016-07-11,O,B,1,3,E3,13.406,13.8082,13.7704,0.402199999999999,0.3644,0.0377999999999989,21.7874399234893,0.0939830929885606,4.7,17.3494454294496
CP,2016-07-11,O,B,2,4,E4,13.2192,13.5577,13.5287,0.3385,0.3095,0.0289999999999999,16.7152316873335,0.0856720827178728,4.7,17.3494454294496
CP,2016-07-11,O,B,2,6,E5,13.2214,13.8219,13.7527,0.6005,0.531300000000002,0.0691999999999986,39.8860011297743,0.115237302248124,4.7,17.3494454294496
CP,2016-07-11,O,C,1,0,E6,13.1694,13.3515,13.3295,0.1821,0.1601,0.0220000000000002,12.6805205903911,0.12081274025261,4.7,17.3494454294496
CP,2016-07-11,O,C,1,1,E7,13.446,13.5851,13.5663,0.139100000000001,0.1203,0.0188000000000006,10.836081231789,0.135154565061111,4.7,17.3494454294496
CP,2016-07-11,O,C,1,2,E8,13.3465,13.6037,13.5731,0.257199999999999,0.226599999999999,0.0305999999999997,17.6374513666345,0.118973561430793,4.7,17.3494454294496
CP,2016-07-11,O,C,1,3,E9,13.167,13.4203,13.3906,0.253299999999999,0.223599999999999,0.0297000000000001,17.1187027970278,0.117252270035532,4.7,17.3494454294496
CP,2016-07-11,O,C,2,4,E10,13.2412,13.738,13.6933,0.4968,0.452100000000002,0.0446999999999989,25.7645122904755,0.0899758454106256,4.7,17.3494454294496
CP,2016-07-11,O,C,2,6,F1,13.1938,13.7846,13.7343,0.5908,0.5405,0.0503,28.9922811680302,0.0851387948544347,4.7,17.3494454294496
